x,y,name
2.0035179,5.3489957,장외금융상품 원장 개발
2.0947483,3.0135906,금융상품 개발
-0.26592973,2.380576,투자정보 서버 개발
-1.3194016,-0.16686088,MSA 아키텍트 설계
0.30273822,1.7581352,유동성공급(LP) 시스템 클라이언트 개발
-3.2559948,0.5946929,시스템아키텍트
-0.02022351,2.064624,유동성공급(LP) 시스템 서버 개발
2.183658,5.4847674,장외파생/거래소 TR보고 원장 개발
-3.8110955,0.95638704,"미들웨어 설계, 구축, 운영"
-0.9969199,1.2770271,그룹웨어 개발/운영
1.1247705,-1.4812316,WEB 개발
-2.7519906,1.9726273,Exchange 메일 시스템 개발
1.6763607,5.659384,국내파생상품 원장 개발
4.82479,9.264521,회계시스템 개발 및 운영
1.4642023,4.93448,국내주식 원장 개발
-1.9819959,0.6524351,컨테이너 플랫폼 관리
0.11374702,10.028247,사업전략담당 (Business Strategy Manager)
2.7419014,8.549872,사업운영담당 (Business Operations Manager)
1.426341,5.3336368,서버 개발자 Python(Django) Developer (주니어)
1.4074602,5.1530185,서버 개발자 Python(Django) Developer (시니어)
-1.7511222,6.9486923,서비스 운영 및 경영지원 담당자
-2.9098103,12.372238,[전사마케팅] 온/오프라인 마케팅 기획
-5.843683,9.606549,[전사마케팅] 그래픽 디자이너
0.7687267,6.3438325,SW엔지니어(SAP PI)
-1.0840147,1.9403617,시스템 운영
0.52155966,0.14632715,응용SW엔지니어(운영및개발)
0.977109,5.674722,SW엔지니어(SAP BW)
1.0210963,6.822649,운영개발자
0.022821821,-2.0077417,SW엔지니어(웹개발자)
3.226625,10.053884,경영관리부 회계팀 회계담당
